User,Comment,VideoID,Likes,Replies
@bradleywindle9396,How&#39;s that make you feel???,Ssqy6u1vREw,0.0,0.0
@monaestrada6256,Racism is alive and well in the USA!,Ssqy6u1vREw,0.0,0.0
@HardboiledBread,"Get ready for insanely high prices, mass deportation and tariffs are going to be egregiously messy",Ssqy6u1vREw,0.0,0.0
@BuddyH69,Up yours David Muir🖕🏼,Ssqy6u1vREw,0.0,0.0
@randomxstory,"Im here for the meltdown videos, haha.",Ssqy6u1vREw,0.0,0.0
@JohnGtti-g4u,VANCE 2028 🇺🇸🇺🇸,Ssqy6u1vREw,0.0,0.0
@Tinfoiledhat,Hahahahahahahahahahaha REEEEEEEEEEEE REEEEEEE LET THE SALT FLOW,Ssqy6u1vREw,6.0,1.0
@AcesForEverything,Did David Muir just blamed Biden for Kamala&#39;s defeat? 😂,Ssqy6u1vREw,288.0,22.0
@deepoole820,Now do you wish you&#39;d given him a fair debate?,Ssqy6u1vREw,0.0,0.0
@williamshaw5388,This is what happens when the Democrats decide to support trans rights over workers rights.,Ssqy6u1vREw,0.0,0.0
@faiabdrahman8467,"America has spoken <br>Electoral votes ✅<br>Popular votes ✅<br>Senate ✅<br>House ✅<br>Winning more Black, Puerto Rican (Tq FL), Muslim (Tq MI) and Latino votes ✅<br>Biggest comeback ever ❤❤❤",Ssqy6u1vREw,157.0,20.0
@FreddyJong-co6cb,Trump 3rd term 2028😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Ssqy6u1vREw,1.0,0.0
@IC941,😂😂😂,Ssqy6u1vREw,0.0,0.0
@johnlarocco3348,Deeply divided because you tell so many lies. We won you lost now go get a lawyer it&#39;s go time in America 🇺🇸 where we live free or Die.,Ssqy6u1vREw,1.0,0.0
